[9614, 10001]
[9186, 9953]
[7915, 10075]
[7297, 10005]
[6800, 9973]
[7858, 10059]
[6731, 9808]
[6140, 9789]
[8314, 10039]
[8400, 9785]
[9232, 9808]
[7360, 10005]
[7776, 9856]
[9280, 9798]
[6100, 9820]
[8474, 10036]
[8542, 9964]
[9028, 9808]
[7350, 9854]
[9263, 9969]
[6568, 9863]
[6174, 9808]
[7099, 9973]
[7074, 9781]
[9225, 9781]
[7684, 9992]
[8257, 9789]
[7210, 9808]
[7697, 9865]
[9233, 10059]
[8997, 9785]
[6437, 9976]
[7717, 9998]
[7949, 9808]
[6418, 9800]
[8133, 9950]
[7762, 10054]
[6894, 9808]
[8072, 9808]
[9008, 9856]
[7453, 9808]
[9228, 9951]
[9315, 9903]
[8297, 10024]
[8726, 9919]
[8973, 10054]
[8716, 10054]
[8171, 9808]
[9437, 9854]
[7587, 10036]
[7482, 9865]
[9000, 9973]
[9454, 10036]
[8550, 9976]
[8960, 9808]
[6793, 10071]
[8421, 9808]
[6891, 9808]
[9616, 9973]
[7563, 9973]
[6158, 9808]
[7312, 9973]
[6739, 9973]
[7849, 9977]
[8913, 9950]
[8636, 9785]
[6145, 9808]
[6698, 9973]
[7808, 9856]
[9652, 9919]
[7980, 9992]
[8727, 9865]
[6852, 9808]
[8327, 9798]
[6102, 10003]
[9235, 10066]
[6116, 9808]
[6706, 9973]
[8025, 9808]
[6753, 10024]
[7787, 10037]
[8755, 9973]
[8914, 9948]
[8835, 9873]
[9488, 9959]
[8524, 9973]
[6205, 9856]
[9068, 9808]
[7378, 9785]
[9190, 9973]
[8906, 9976]
[8423, 10036]
[6658, 9785]
[8954, 9973]
[7366, 9798]
[6700, 9785]
[6511, 9808]
[7498, 9973]
[6665, 9781]
[6237, 9984]
[8145, 9808]
[6735, 9973]
[8505, 9959]
[8330, 9862]
[7246, 9808]
[8307, 9865]
[8099, 9779]
[6440, 10054]
[6988, 9973]
[7488, 9798]
[7810, 10044]
[7168, 9870]
[6542, 9832]
[6429, 9993]
[7665, 9943]
[7241, 9973]
[8058, 9785]
[6535, 9798]
[6640, 9973]
[6099, 9785]
[6503, 9781]
[7225, 9807]
[8552, 9865]
[7583, 9808]
[7365, 9781]
[7736, 9808]
[6790, 9973]
[7831, 10054]
[7264, 9974]
[7770, 9959]
[6350, 9992]
[6750, 9808]
[6397, 9919]
[6680, 9856]
[8063, 9973]
[7368, 10037]
[7259, 9808]
[6716, 9973]
[6587, 9992]
[9634, 9808]
[9366, 9894]
[7331, 9972]
[9316, 9865]
[6844, 9808]
[6854, 10005]
[8856, 9785]
[9018, 9798]
[8407, 9785]
[8405, 9973]
[8900, 9808]
[6343, 9831]
[7226, 9808]
[6842, 9976]
[9273, 9973]
[8548, 9808]
[6194, 9928]
[8637, 9808]
[7428, 9798]
[7373, 9808]
[6273, 9928]
[9745, 9932]
[7278, 9979]
[6673, 9973]
[9304, 9808]
[9286, 9966]
[8868, 9877]
[9081, 9973]
[8419, 10020]
[7774, 9973]
[7643, 9777]
[7669, 9928]
[9505, 9808]
[6289, 9808]
[7731, 9808]
[6139, 9808]
[8760, 10072]
[7721, 9808]
[8560, 9808]
[7144, 9808]
[6414, 9882]
[9211, 10011]
[7298, 10054]
[7119, 9798]
[9590, 9808]
[9004, 9808]
[7708, 9781]
[6805, 9808]
[6071, 9785]
[7664, 9992]
[9146, 10027]
[6734, 9973]
[9456, 9782]
[6926, 10054]
[8967, 9808]
[7214, 9836]
[9664, 9953]
[8993, 10054]
[6282, 10036]
[8632, 9785]
[8019, 9799]
[7441, 10000]
[6188, 9950]
[9594, 9992]
[9460, 9885]
[8164, 10036]
[7564, 9808]
[7138, 9983]
[8093, 9973]
[7211, 9808]
[8197, 9992]
[8985, 9781]
[8029, 9808]
[6143, 9973]
[6433, 9854]
[8622, 9785]
[7724, 9808]
[7959, 9781]
[9655, 9789]
[6914, 9781]
[9661, 9808]
[8931, 9808]
[7359, 9808]
[9154, 9781]
[8278, 9789]
[6703, 9973]
[7690, 9919]
[7548, 9981]
[6855, 9992]
[8838, 9808]
[7019, 10036]
[8845, 9973]
[8184, 9781]
[7023, 9808]
[7857, 9973]
[7700, 9789]
[6082, 9782]
[9259, 9961]
[6400, 9788]
[8522, 9837]
[6479, 10056]
[7377, 9874]
[6299, 9959]
[9618, 9964]
[7128, 9964]
[7010, 9859]
[7793, 9785]
[8060, 9973]
[6745, 9950]
[7374, 9992]
[6636, 9808]
[8855, 10036]
[9342, 9973]
[9191, 9798]
[8076, 9854]
[7972, 9808]
[9667, 9870]
[6157, 9919]
[6215, 9846]
[8087, 9962]
[6937, 9973]
[8370, 9798]
[6890, 9959]
[8798, 9808]
[9172, 9859]
[6903, 9808]
[7788, 9785]
[7337, 9973]
[9735, 9808]
[9403, 9876]
[7909, 10056]
[6375, 9973]
[7409, 9959]
[6233, 9959]
[8227, 9798]
[8763, 9964]
[8711, 9850]
[6561, 9973]
[9377, 9973]
[7769, 9781]
[9156, 9973]
[7750, 9876]
[8601, 9973]
[6772, 9959]
[8988, 9973]
[8999, 9808]
[8181, 9973]
[6728, 9973]
[9346, 9808]
[8828, 10072]
[6043, 9952]
[6516, 9781]
[9023, 9808]
[6984, 9973]
[8276, 9852]
[7018, 9905]
[6455, 9973]
[9646, 9973]
[6244, 9781]
[9148, 9808]
[6756, 9777]
[6899, 9808]
[8066, 9964]
[8887, 9992]
[8836, 9973]
[8324, 9973]
[8843, 9850]
[7558, 9808]
[7075, 10054]
[7300, 9808]
[9079, 9808]
[9118, 9808]
[9416, 9873]
[7637, 9808]
[6325, 9909]
[6277, 9880]
[9555, 9959]
[7668, 9808]
[6486, 9991]
[6266, 9792]
[6974, 9891]
[8812, 9808]
[7165, 9808]
[6562, 9798]
[6737, 9881]
[8681, 9876]
[7231, 9785]
[9001, 9788]
[7910, 10054]
[8011, 10004]
[7580, 9992]
[8932, 9798]
[9130, 9808]
[8588, 9973]
[8534, 9808]
[6448, 9808]
[9663, 9808]
[7123, 10044]
[9576, 9973]
[8208, 9808]
[7141, 9815]
[8384, 9785]
[7070, 9859]
[7340, 9973]
[8301, 9919]
[9354, 9808]
[6641, 9950]
[8137, 9808]
[9112, 9792]
[7033, 9973]
[7837, 9873]
[8057, 9973]
[7267, 9887]
[7329, 10036]
[7496, 9800]
[8615, 9973]
[9465, 9808]
[8645, 9973]
[6870, 9808]
[6643, 9808]
[7448, 10004]
[9196, 9792]
[8053, 9953]
[9487, 9973]
[6928, 9822]
[6971, 9833]
[6167, 9976]
[9276, 10007]
[6747, 10071]
[8131, 9973]
[7679, 9808]
[7751, 9784]
[8536, 10019]
[9726, 9973]
[6270, 9788]
[8475, 9808]
[7796, 9796]
[7974, 9973]
[8950, 9781]
[8165, 9919]
[7623, 9882]
[8033, 10036]
[9414, 9808]
[9333, 9808]
[6354, 10036]
[7878, 9850]
[6717, 9851]
[6283, 10058]
[7868, 9808]
[6104, 9798]
[7081, 9781]
[7826, 9808]
[6651, 9808]
[9431, 10036]
[8280, 9781]
[8235, 9808]
[7101, 9854]
[7398, 9781]
[6045, 9808]
[9693, 9798]
[9463, 9918]
[8663, 9808]
[6645, 9992]
[9566, 9964]
[8320, 9973]
[8363, 9973]
[8504, 9865]
[6477, 10036]
[6522, 9895]
[6663, 9808]
[8340, 9808]
[8941, 10036]
[7197, 10038]
[9441, 9808]
[9329, 9808]
[6977, 9953]
[8163, 9822]
[9229, 9981]
[7250, 9789]
[7115, 9798]
[6906, 9876]
[9682, 9785]
[6092, 9808]
[8595, 9808]
[6702, 9785]
[6551, 9919]
[6667, 10044]
[7429, 9935]
[7181, 9973]
[6557, 9973]
[6463, 9808]
[7467, 9809]
[9017, 9973]
[6609, 9808]
[7824, 9876]
[8517, 9808]
[7745, 9808]
[8639, 9808]
[6775, 9808]
[9474, 9919]
[7859, 9810]
[7083, 9973]
[6186, 9808]
[6711, 9959]
[6550, 9973]
[8465, 9973]
[7640, 9808]
[8972, 9953]
[6954, 9789]
[6704, 10005]
[6223, 9865]
[7349, 9973]
[6251, 9854]
[7822, 9854]
[9432, 9808]
[8040, 9808]
[9519, 9808]
[8675, 9781]
[6310, 9808]
[6127, 9930]
[6115, 10024]
[6980, 9808]
[8346, 9785]
[9700, 9808]
[9559, 9808]
[7160, 9972]
[9060, 10036]
[8096, 9973]
[7533, 9865]
[8513, 9808]
[9706, 9973]
[8809, 9781]
[6789, 9808]
[7920, 10074]
[8621, 10058]
[7748, 9973]
[9132, 9792]
[9507, 9973]
[6829, 9808]
[9452, 10024]
[8947, 9808]
[7252, 10054]
[8062, 9808]
[9580, 9808]
[9337, 9854]
[7633, 10020]
[9643, 9789]
[8126, 9959]
[7135, 9808]
[6446, 9922]
[6685, 10054]
[8667, 9808]
[8576, 9859]
[7945, 9876]
[7514, 10071]
[6683, 10005]
[6762, 9808]
[7650, 9808]
[6420, 9808]
[6606, 10040]
[6134, 9785]
[7900, 10045]
[7892, 10045]
[6208, 9810]
[7492, 9798]
[9043, 10004]
[8563, 10004]
[8917, 9973]
[8124, 10004]
[8940, 9940]
[6468, 9959]
[7258, 9781]
[9728, 10058]
[7543, 9818]
[9462, 9951]
[8608, 9901]
[6438, 10045]
[7057, 9785]
[6963, 9785]
[9082, 9882]
[9212, 9920]
[7712, 9907]
[6201, 9951]
[8140, 9973]
[8168, 10019]
[7869, 9808]
[8691, 9970]
[9442, 10055]
[9214, 9808]
[6638, 9973]
[7856, 9834]
[9743, 9992]
[6571, 9778]
[9270, 10066]
[6326, 9876]
[8336, 9782]
[8788, 9973]
[6392, 9810]
[7651, 9785]
[6594, 9785]
[8048, 9920]
[8661, 9781]
[8138, 10044]
[9104, 9851]
[9058, 9945]
[7801, 9798]
[7216, 9808]
[7372, 9940]
[8876, 9966]
[6923, 9973]
[8361, 9808]
[6732, 9808]
[9600, 9852]
[6546, 9973]
[6920, 9995]
[8953, 9808]
[8883, 9808]
[9332, 9973]
[7997, 9798]
[6886, 9808]
[7417, 9894]
[9638, 9808]
[6845, 10024]
[6050, 9808]
[8918, 10024]
[9150, 9920]
[6527, 9950]
[6383, 9992]
[9271, 9808]
[6576, 9950]
[6156, 9932]
[9075, 9892]
[6822, 9781]
[7176, 9808]
[9367, 9808]
[9530, 9808]
[6595, 9798]
[7393, 9810]
[6960, 9985]
[6596, 9852]
[7851, 9808]
[7137, 10054]
[8995, 9808]
[6197, 9808]
[6559, 9781]
[7173, 10036]
[8309, 9919]
[9031, 9798]
[9362, 9781]
[6900, 9808]
[8167, 9953]
[8676, 10072]
[8572, 9992]
[6113, 9808]
[9260, 9808]
[7041, 9824]
[7941, 9959]
[9703, 10051]
[7497, 9792]
[7385, 9792]
[6175, 9973]
[7011, 9959]
[6537, 9865]
[7122, 9789]
[7032, 9808]
[8936, 10022]
[7827, 9950]
[6459, 9813]
[9674, 9789]
[7606, 10053]
[8786, 9882]
[8120, 9882]
[7394, 9938]
[7942, 9919]
[7342, 9789]
[9138, 9919]
[7885, 9929]
[8870, 9994]
[6779, 9973]
[8613, 9789]
[6066, 9964]
[7981, 9859]
[8911, 9964]
[7682, 9859]
[7466, 9882]
[7187, 9808]
[8142, 9799]
[7450, 9964]
[6924, 9911]
[6061, 9906]
[9230, 9964]
[9427, 9859]
[8116, 9792]
[9030, 9920]
[8927, 9865]
[7361, 9788]
[8796, 9808]
[7698, 10036]
[9188, 9808]
[7411, 9808]
[9252, 9973]
[9410, 9798]
[8570, 9808]
[7272, 9798]
[7263, 9865]
[9512, 10044]
[8516, 9891]
[8594, 9808]
[6993, 10024]
[9536, 9808]
[7781, 9992]
[9206, 9808]
[8604, 9940]
[6367, 9808]
[9020, 9798]
[7183, 9781]
[9504, 10024]
[8892, 9808]
[9301, 9808]
[6338, 10001]
[8428, 9940]
[8612, 9940]
[7412, 10025]
[8963, 9847]
[9435, 9851]
[7270, 9985]
[9732, 10060]
[6286, 9992]
[8872, 9873]
[8582, 9807]
[8874, 9973]
[8860, 9973]
[7645, 9810]
[7984, 9808]
[6090, 9810]
[8934, 10024]
[6348, 9982]
[6331, 10004]
[7254, 9920]
[7761, 10045]
[8202, 9777]
[6191, 10072]
[6368, 9973]
[8753, 10004]
[8203, 9971]
[8157, 9951]
[9599, 9808]
[8075, 9808]
[6047, 9989]
[9266, 9973]
[6098, 9808]
[8994, 9937]
[6826, 9937]
[9133, 10054]
[6742, 9808]
[6169, 9808]
[6718, 9854]
[7967, 9973]
[8533, 10036]
[6278, 9928]
[8047, 9973]
[9670, 9808]
[7094, 9781]
[7937, 9808]
[9256, 9808]
[8366, 9838]
[7686, 9808]
[7693, 9808]
[6074, 9808]
[8355, 10036]
[9459, 9808]
[6403, 9973]
[6828, 9931]
[6972, 9930]
[8378, 9854]
[6787, 9930]
[6821, 9854]
[7670, 9808]
[6072, 9808]
[9310, 9781]
[9185, 9928]
[8433, 9973]
[8702, 9973]
[9222, 10036]
[7876, 9808]
[8574, 9808]
[7279, 10036]
[6149, 10036]
[8808, 10036]
[9098, 9884]
[9284, 9891]
[8511, 9808]
[9553, 9784]
[7509, 9815]
[7053, 10019]
[9402, 10019]
[6255, 9973]
[7029, 9808]
[9471, 9973]
[7420, 9808]
[8749, 9808]
[8767, 9959]
[8376, 9973]
[6539, 9854]
[8219, 10036]
[9103, 10054]
[6321, 9973]
[9187, 10005]
[8249, 9808]
[9620, 9973]
[6969, 9873]
[6280, 9808]
[6271, 9808]
[8313, 10072]
[9027, 9817]
[7451, 9973]
[7464, 10054]
[8837, 9951]
[8212, 9807]
[8852, 9808]
[8229, 9808]
[6324, 9808]
[8113, 9785]
[9089, 10036]
[8206, 9808]
[7747, 10036]
[6044, 10036]
[7775, 9808]
[9517, 9973]
[9591, 9843]
[9123, 9998]
[6794, 10044]
[9478, 9991]
[6077, 9912]
[6267, 9801]
[7276, 9973]
[7452, 9808]
[9448, 10040]
[9509, 10012]
[7334, 9991]
[8463, 9808]
[8631, 10072]
[8630, 9950]
[9727, 9790]
[6451, 10005]
[7943, 10004]
[9420, 10024]
[7578, 9835]
[9009, 9933]
[6216, 10055]
[7495, 10072]
[9438, 9865]
[9174, 10071]
[8064, 9878]
[8476, 9972]
[7239, 9993]
[6332, 9884]
[8377, 10072]
[9037, 9808]
[7783, 9785]
[9090, 9870]
[6603, 9808]
[6124, 9785]
[6642, 9808]
[9129, 9845]
[8243, 9993]
[7332, 10058]
[7215, 9973]
[9056, 9781]
[8427, 9808]
[7951, 9973]
[9176, 9788]
[9639, 9822]
[6439, 9993]
[9137, 9781]
[6835, 10005]
[9159, 9808]
[9398, 9808]
[6543, 9798]
[8160, 9815]
[9521, 9992]
[9065, 10072]
[6618, 9808]
[7744, 10063]
[7703, 10062]
[9272, 9851]
[6473, 9822]
[6725, 9807]
[6500, 9973]
[9166, 9854]
[6177, 9921]
[9413, 9815]
[6369, 9996]
[6788, 10040]
[7314, 10072]
[7059, 10006]
[6515, 9785]
[8141, 9950]
[8078, 9847]
[8441, 9808]
[8846, 9900]
[6377, 9873]
[9595, 9808]
[6765, 10072]
[8380, 9781]
[7414, 10073]
[8493, 10044]
[6096, 9781]
[7576, 10008]
[8448, 9822]
[7381, 9781]
[6125, 9808]
[8625, 9973]
[7905, 9964]
[6176, 9950]
[6997, 9901]
[8695, 9973]
[9200, 9798]
[9327, 10048]
[7566, 9934]
[9283, 9839]
[8789, 9798]
[9241, 10044]
[8462, 9973]
[6590, 9808]
[7303, 9807]
[7573, 9808]
[7881, 9798]
[8958, 9973]
[8178, 9968]
[6401, 10072]
[7431, 9808]
[7016, 9991]
[9649, 9808]
[7281, 9851]
[7599, 9863]
[8873, 9808]
[6049, 10062]
[9455, 9785]
[9323, 10036]
[7177, 9973]
[8951, 9808]
[9426, 9792]
[7610, 10036]
[7713, 9808]
[8023, 9973]
[6851, 9835]
[9476, 9854]
[6359, 9854]
[9157, 9854]
[8226, 9854]
[7108, 9854]
[7330, 9854]
[8443, 9854]
[8569, 9854]
[9422, 9854]
[7262, 9822]
[9011, 9854]
[9534, 10071]
[9628, 9854]
[6892, 9932]
[8291, 9816]
[8348, 9854]
[8086, 9854]
[8738, 10061]
[9308, 9854]
[8317, 9854]
[9394, 9854]
[7961, 9992]
[9356, 9847]
[9361, 9854]
[8059, 9854]
[9182, 9854]
[8091, 9854]
[9092, 9854]
[9672, 9854]
[7995, 9808]
[9653, 9777]
[6839, 9785]
[7045, 9808]
[7433, 10071]
[8293, 9974]
[9597, 9798]
[6238, 9959]
[8070, 10053]
[6936, 9808]
[8234, 10036]
[7877, 9808]
[6688, 9808]
[6199, 10054]
[6217, 9808]
[8787, 9808]
[6778, 9789]
[7463, 9959]
[6387, 9865]
[6610, 9974]
[8648, 9974]
[7556, 9974]
[7170, 9974]
[7790, 9974]
[6467, 9974]
[7404, 9965]
[7284, 9863]
[6808, 9863]
[8004, 9940]
[6666, 9940]
[9544, 9928]
[7529, 9976]
[8422, 9808]
[7846, 10054]
[9552, 9950]
[6656, 9816]
[8368, 9816]
[6258, 9816]
[6123, 9973]
[8152, 9825]
[9641, 9781]
[9399, 9798]
[8154, 9973]
[9153, 9781]
[9479, 10015]
[9119, 9808]
[8252, 9985]
[8319, 9808]
[6850, 9808]
[8778, 10024]
[7968, 9884]
[9401, 9808]
[6287, 10071]
[6896, 9896]
[6396, 9785]
[9029, 9781]
[9742, 9808]
[6107, 9808]
[6247, 9808]
[9498, 9973]
[8568, 9927]
[6616, 9971]
[9711, 9808]
[6885, 9808]
[8889, 10036]
[8005, 10036]
[7282, 10004]
[7155, 9808]
[9392, 9973]
[6526, 9897]
[6250, 9992]
[9343, 9808]
[7367, 10054]
[7569, 9992]
[7512, 9856]
[7649, 10054]
[9467, 9822]
[7519, 10054]
[8460, 9973]
[7154, 9808]
[6615, 9865]
[9720, 9973]
[6586, 9973]
[7989, 9785]
[8559, 9808]
[8318, 9973]
[8792, 9807]
[9542, 9973]
[7469, 9792]
[7734, 9973]
[8112, 9850]
[7604, 9785]
[7227, 9973]
[7629, 9785]
[6426, 9973]
[7562, 9785]
[9510, 9876]
[6911, 10004]
[8014, 9929]
[7821, 9973]
[8150, 9785]
[6133, 9852]
[6051, 9808]
[8733, 10024]
[9708, 9785]
[7538, 10036]
[7257, 9808]
[7190, 9777]
[6682, 9917]
[6509, 9789]
[7017, 9876]
[7615, 9781]
[8482, 9876]
[8986, 10059]
[6867, 10056]
[6770, 9781]
[9039, 9959]
[8271, 9852]
[8415, 9973]
[6150, 9808]
[7273, 9971]
[8065, 9957]
[9220, 9964]
[7157, 9973]
[7185, 9876]
[7423, 9973]
[7338, 10013]
[8652, 9798]
[6944, 10054]
[7200, 9798]
[8982, 9953]
[9173, 10058]
[7234, 9792]
[9716, 9876]
[7799, 9973]
[8944, 9808]
[7362, 10072]
[7958, 9808]
[7586, 9808]
[7908, 9808]
[9303, 9973]
[8198, 9973]
[7503, 9876]
[7988, 9959]
[7042, 9973]
[9072, 9973]
[9585, 9865]
[8841, 9808]
[8799, 9876]
[7253, 9808]
[9622, 9885]
[6660, 9821]
[6691, 9973]
[8700, 9976]
[7102, 9973]
[7100, 9808]
[6819, 9808]
[6054, 9973]
[6430, 9808]
[7540, 9808]
[6719, 9798]
[7031, 9973]
[9124, 9919]
[7934, 10058]
[8821, 9785]
[8216, 10005]
[7405, 9808]
[6182, 9930]
[6817, 9808]
[9624, 9973]
[9578, 9882]
[8555, 9808]
[9360, 9798]
[9629, 9785]
[6249, 9862]
[7928, 9953]
[7534, 9973]
[6111, 9798]
[8342, 9808]
[8866, 10059]
[6746, 9973]
[6967, 9973]
[9262, 9948]
[6181, 9808]
[7426, 9785]
[8209, 9977]
[8942, 9811]
[7830, 9808]
[8907, 9785]
[8305, 9991]
[7408, 9785]
[9265, 9808]
[7112, 9788]
[7671, 9876]
[7922, 9808]
[9378, 9808]
[8285, 9936]
[8642, 9973]
[7663, 9919]
[8610, 10033]
[8215, 10062]
[8356, 9973]
[9247, 9993]
[6469, 10044]
[6341, 9789]
[7515, 9776]
[7376, 10032]
[7766, 9930]
[8036, 9789]
[9135, 9785]
[9250, 9808]
[9531, 9862]
[8272, 9808]
[8863, 9941]
[6513, 9870]
[6552, 10054]
[7459, 9798]
[9400, 9817]
[7844, 9973]
[8669, 10020]
[8706, 9856]
[6979, 10055]
[7574, 10044]
[7962, 9865]
[6678, 9808]
[9070, 9865]
[6425, 9808]
[6206, 9973]
[6284, 9808]
[8332, 9973]
[8139, 9840]
[6364, 9967]
[7707, 9949]
[9071, 10072]
[7555, 9870]
[6243, 9808]
[6441, 9781]
[7536, 9854]
[6671, 9808]
[6757, 10004]
[6084, 10056]
[7836, 9999]
[7001, 9785]
[9363, 9781]
[9524, 9992]
[8256, 9785]
[6908, 9808]
[8807, 9808]
[6840, 9865]
[9372, 9798]
[6222, 9973]
[7594, 9973]
[7786, 9781]
[8686, 9798]
[7098, 9904]
[8273, 9806]
[8489, 9973]
[7510, 9777]
[6504, 9939]
[8268, 10036]
[9707, 9808]
[6617, 9808]
[6498, 10036]
[9359, 9954]
[8775, 9922]
[8782, 9854]
[9424, 9876]
[8028, 10036]
[9368, 9834]
[7371, 9808]
[7644, 9808]
[9345, 9992]
[8785, 9792]
[8736, 9973]
[9617, 9808]
[8901, 9973]
[6154, 9876]
[6888, 9928]
[7478, 9808]
[8288, 9876]
[8728, 10072]
[7296, 9792]
[7895, 9808]
[7182, 9808]
[8831, 9861]
[8069, 9777]
[7382, 10046]
[7189, 9973]
[9149, 9808]
[6373, 9973]
[7581, 9798]
[6198, 10044]
[9381, 9808]
[9613, 9861]
[6274, 9876]
[7328, 9876]
[6569, 9777]
[7140, 9865]
[8557, 9964]
[7999, 9894]
[7800, 9962]
